"A","R","B","type_relation"
"film","d'","horreur","r_topic"
"livre","de","science-fiction","r_topic"
"livre","de","cuisine","r_topic"
"livre","d'","histoire","r_topic"
"salle","de","classe","r_topic"
"salle","de","concert","r_topic"
"salle","de","bain","r_topic"
"café","de","quartier","r_lieu"
"musée","de","sciences","r_topic"
"musée","d'","art moderne","r_topic"
"musée","de","province","r_lieu"
"restaurant","de","sushi","r_topic"
"restaurant","de","tacos","r_topic"
"école","de","danse","r_topic"
"école","de","commerce","r_topic"
"école","de","cuisine","r_topic"
"club","de","lecture","r_topic"
"club","de","sport","r_topic"
"club","de","vacances","r_topic"
"cours","de","mathématiques","r_topic"
"cours","de","piano","r_topic"
"cours","de","yoga","r_topic"
"photo","du","voyage","r_topic"
"photo","du","voyage","r_depict"
"photo","de","famille","r_topic"
"photo","de","famille","r_depict"
"festival","de","musique","r_topic"
"festival","de","cinéma","r_topic"
"pièce","de","théâtre","r_topic"
"pièce","de","monnaie","r_topic"
"chanson","de","variété","r_topic"
"chanson","d'","amour","r_topic"
"jeu","de","sport","r_topic"
"peinture","de","Marseille","r_depict"
"peinture","de","paysage","r_depict"
"peinture","de","paysage","r_topic"
"recette","de","cuisine","r_topic"
"recette","de","grand-mère","r_product_of"
"spectacle","de","danse","r_topic"
"atelier","de","poterie","r_topic"
"atelier","de","peinture","r_topic"
"pain","de","seigle","r_objet>matiere"
"verre","de","lunettes","r_holo"
"verre","de","montre","r_holo"
"tour","de","contrôle","r_topic"
"tour","de","pise","r_lieu>origine"
"bouteille","de","vin","r_topic"
"bouteille","de","lait","r_topic"
"tableau","de","classe","r_holo"
"ordinateur","de","bureau","r_lieu"
"parfum","de","fleurs","r_topic"
"parfum","de","vanille","r_topic"
"poème","d'","amour","r_topic"
"poème","de","guerre","r_topic"
"groupe","de","musique","r_topic"
"groupe","de","travail","r_topic"
"spectateur","de","cinéma","r_topic"
"spectateur","de","match","r_topic"
"pièce","d'","art","r_topic"
"cours","de","récréation","r_topic"
"cours","d'","eau","r_objet>matiere"
"église","du","village","r_own-1"
"église","de","pierre","r_objet>matiere"
"rue","de","Paris","r_lieu"
"saison","de","chasse","r_topic"
"saison","de","pluie","r_topic"
"colonne","de","marbre","r_objet>matiere"
"colonne","de","fumée","r_objet>matiere"
"source","de","lumière","r_topic"
"source","de","plaisir","r_topic"
"brin","d'","herbe","r_quantificateur"
"grain","de","sel","r_quantificateur"
"grain","de","sable","r_quantificateur"
"goutte","d'","eau","r_quantificateur"
"goutte","de","sang","r_quantificateur"
"poignée","de","riz","r_quantificateur"
"verre","de","vin","r_quantificateur"
"verre","de","lait","r_quantificateur"
"verre","de","bière","r_quantificateur"
"bouteille","de","parfum","r_quantificateur"
"bouteille","d'","eau","r_quantificateur"
"flacon","de","parfum","r_quantificateur"
"flacon","d'","huile","r_quantificateur"
"cuillère","de","sucre","r_quantificateur"
"cuillère","de","miel","r_quantificateur"
"bol","de","riz","r_quantificateur"
"bol","de","soupe","r_quantificateur"
"tasse","de","café","r_quantificateur"
"tasse","de","thé","r_quantificateur"
"litre","de","lait","r_quantificateur"
"litre","d'","essence","r_quantificateur"
"kilo","de","pommes","r_quantificateur"
"kilo","de","pain","r_quantificateur"
"tranche","de","pain","r_quantificateur"
"tranche","de","jambon","r_quantificateur"
"morceau","de","fromage","r_quantificateur"
"morceau","de","bois","r_quantificateur"
"paquet","de","biscuits","r_quantificateur"
"paquet","de","cigarettes","r_quantificateur"
"pile","de","livres","r_quantificateur"
"pile","de","dossiers","r_quantificateur"
"bouffée","d'","air","r_quantificateur"
"bouffée","de","fumée","r_quantificateur"
"centimètre","de","tissu","r_quantificateur"
"centimètre","de","neige","r_quantificateur"
"minute","d'","attente","r_quantificateur"
"minute","de","silence","r_quantificateur"
"heure","de","route","r_quantificateur"
"heure","de","travail","r_quantificateur"
"jour","de","repos","r_quantificateur"
"jour","de","pluie","r_quantificateur"
"année","de","récolte","r_quantificateur"
"part","de","gâteau","r_quantificateur"
"part","du","marché","r_quantificateur"
"morceau","de","tissu","r_quantificateur"
"filet","de","poisson","r_holo"
"filet","d'","huile","r_quantificateur"
"sac","de","pomme de terre","r_quantificateur"
"sac","de","farine","r_quantificateur"
"poignée","de","poussière","r_quantificateur"
"poignée","de","clés","r_quantificateur"
"nuage","de","fumée","r_quantificateur"
"nuage","de","poussière","r_quantificateur"
"rayon","de","soleil","r_quantificateur"
"rayon","de","lune","r_quantificateur"
"note","de","musique","r_quantificateur"
"zeste","de","citron","r_quantificateur"
"zeste","de","citron","r_holo"
"zeste","d'","orange","r_quantificateur"
"zeste","d'","orange","r_holo"
"malle","de","voiture","r_holo"
"morceau","de","papier","r_quantificateur"
"morceau","de","chocolat","r_quantificateur"
"fragment","de","roche","r_quantificateur"
"fragment","de","texte","r_quantificateur"
"grain","de","café","r_quantificateur"
"grain","de","maïs","r_quantificateur"
"pincée","de","sel","r_quantificateur"
"pincée","de","poivre","r_quantificateur"
"lamelle","de","bois","r_quantificateur"
"lamelle","de","carotte","r_quantificateur"
"trace","de","sodium","r_quantificateur"
"foule","de","gens","r_quantificateur"
"foule","de","touristes","r_quantificateur"
"groupe","de","mots","r_quantificateur"
"groupe","de","personnes","r_quantificateur"
"pointe","de","nostalgie","r_quantificateur"
"faisceau","de","lumière","r_quantificateur"
"ligne","de","code","r_quantificateur"
"ligne","de","texte","r_quantificateur"
"étincelle","de","joie","r_quantificateur"
"courant","d'","air","r_quantificateur"
"peinture","d'un","paysage","r_depict"
"photo","d'une","famille","r_depict"
"portrait","du","roi","r_depict"
"sculpture","d'un","héros","r_depict"
"dessin","d'un","animal","r_depict"
"esquisse","de la","ville","r_depict"
"croquis","du","modèle","r_depict"
"gravure","d'une","bataille","r_depict"
"aquarelle","du","jardin","r_depict"
"fresque","de la","mythologie","r_depict"
"mosaïque","d'un","dieu","r_depict"
"vitrail","d'un","saint","r_depict"
"caricature","du","politicien","r_depict"
"illustration","d'un","conte","r_depict"
"tableau","de","la mer","r_depict"
"image","d'un","volcan","r_depict"
"photographie","du","ciel","r_depict"
"cliché","d'un","mariage","r_depict"
"vidéo","d'une","cérémonie","r_depict"
"film","du","voyage","r_depict"
"documentaire","d'une","tribu","r_topic"
"reportage","du","conflit","r_depict"
"animation","d'un","rêve","r_depict"
"bande dessinée","d'une","aventure","r_depict"
"bande dessinée","d'une","aventure","r_topic"
"manga","du","héros","r_own-1"
"chanson","d'un","amour","r_depict"
"récit","du","passé","r_depict"
"récit","du","passé","r_topic"
"légende","d'un","dragon","r_depict"
"mythe","de la","création","r_depict"
"histoire","d'un","peuple","r_topic"
"autobiographie","d'un","artiste","r_depict"
"essai","du","philosophe","r_product_of"
"article","d'un","événement","r_depict"
"chronique","du","village","r_depict"
"description","d'une","forêt","r_depict"
"narration","d'un","exploit","r_depict"
"portrait","du","voyageur","r_depict"
"portrait","du","voyageur","r_product_of"
"peinture","d'une","montagne","r_depict"
"photo","d'un","marché","r_depict"
"sculpture","d'un","dieu","r_depict"
"dessin","d'une","fleur","r_depict"
"gravure","d'un","château","r_depict"
"gravure","d'un","château","r_holo"
"aquarelle","d'un","lac","r_depict"
"fresque","de la","guerre","r_depict"
"mosaïque","d'un","oiseau","r_depict"
"vitrail","d'une","scène","r_depict"
"caricature","d'un","acteur","r_depict"
"illustration","d'un","poème","r_depict"
"tableau","d'un","coucher de soleil","r_depict"
"image","d'une","cascade","r_depict"
"photographie","du","désert","r_depict"
"cliché","d'une","fête","r_depict"
"vidéo","d'un","spectacle","r_depict"
"film","d'une","révolution","r_depict"
"documentaire","du","climat","r_depict"
"reportage","d'une","tradition","r_depict"
"animation","d'un","monde","r_depict"
"manga","d'une","quête","r_depict"
"roman","d'un","destin","r_depict"
"récit","d'une","exploration","r_depict"
"mythe","d'un","géant","r_depict"
"histoire","du","royaume","r_depict"
"biographie","d'un","savant","r_depict"
"autobiographie","du","musicien","r_depict"
"essai","d'une","idée","r_depict"
"chroniques","de la","Rome antique","r_depict"
"description","du","ciel","r_depict"
"narration","d'une","victoire","r_depict"
"portrait","d'une","danseuse","r_depict"
"peinture","d'un","village","r_depict"
"photo","d'un","monument","r_depict"
"sculpture","d'une","déesse","r_depict"
"dessin","d'un","arbre","r_depict"
"gravure","d'une","forêt","r_depict"
"aquarelle","d'une","rivière","r_depict"
"fresque","d'un","marché","r_depict"
"mosaïque","d'un","poisson","r_depict"
"vitrail","d'un","ange","r_depict"
"caricature","d'un","chef","r_depict"
"illustration","d'une","fable","r_depict"
"affiche","d'un","spectacle","r_depict"
"poster","d'une","star","r_depict"
"tableau","d'une","plaine","r_depict"
"image","d'un","glacier","r_depict"
"photographie","d'une","île","r_depict"
"cliché","d'un","carnaval","r_depict"
"vidéo","d'une","parade","r_depict"
"film","d'un","héros","r_topic"
"documentaire","d'une","espèce","r_topic"
"dégâts","de la","tempête","r_has_causatif"
"retard","de la","circulation","r_has_causatif"
"blessures","du","combat","r_has_causatif"
"embouteillage","du","trafic","r_has_causatif"
"pollution","de l'","industrie","r_has_causatif"
"érosion","de la","rivière","r_has_causatif"
"famine","de la","sécheresse","r_has_causatif"
"blessure","de l'","accident","r_has_causatif"
"destruction","de la","guerre","r_has_causatif"
"poussière","du","chantier","r_has_causatif"
"débris","de l'","explosion","r_has_causatif"
"chômage","de la","récession","r_has_causatif"
"chaos","de la","révolte","r_has_causatif"
"stress","de la","pression","r_has_causatif"
"fatigue","du","travail","r_has_causatif"
"insomnie","de","stress","r_has_causatif"
"anxiété","de l'","incertitude","r_has_causatif"
"pertes","de la","crise","r_has_causatif"
"dette","de l'","emprunt","r_has_causatif"
"gravas","de","l'effondrement","r_has_causatif"
"épidémie","du","virus","r_has_causatif"
"blessures","de la","catastrophe","r_has_causatif"
"dommages","du","séisme","r_has_causatif"
"dévastation","du","tsunami","r_has_causatif"
"panne","du","système","r_has_causatif"
"conflit","des","intérêts","r_has_causatif"
"chaos","de l'","anarchie","r_has_causatif"
"stress","du","délai","r_has_causatif"
"fatigue","de l'","effort","r_has_causatif"
"dépression","du","chagrin","r_has_causatif"
"anxiété","du","risque","r_has_causatif"
"dette","du","crédit","r_has_causatif"
"incendie","du","court-circuit","r_has_causatif"
"explosion","de la","bombe","r_has_causatif"
"blessures","du","sport","r_has_causatif"
"dommages","de l'","ouragan","r_has_causatif"
"dévastation","du","typhon","r_has_causatif"
"évacuation","du","sinistre","r_has_causatif"
"erreur","du","programme","r_has_causatif"
"protestations","des","citoyens","r_product_of"
"grève","du","syndicat","r_has_causatif"
"chaos","du","désordre","r_has_causatif"
"stress","de l'","examen","r_has_causatif"
"fatigue","du","voyage","r_has_causatif"
"dépression","du","traumatisme","r_has_causatif"
"anxiété","de l'","attente","r_has_causatif"
"dette","des","prêts","r_has_causatif"
"sournoiserie","du","politicien","r_has_property-1"
"sagesse","du","vieillard","r_has_property-1"
"courage","du","soldat","r_has_property-1"
"bravoure","du","guerrier","r_has_property-1"
"générosité","du","philanthrope","r_has_property-1"
"patience","du","professeur","r_has_property-1"
"audace","de l'","aventurier","r_has_property-1"
"prudence","du","navigateur","r_has_property-1"
"habileté","du","chirurgien","r_has_property-1"
"finesse","du","diplomate","r_has_property-1"
"persévérance","du","chercheur","r_has_property-1"
"curiosité","du","scientifique","r_has_property-1"
"créativité","du","peintre","r_has_property-1"
"imagination","du","romancier","r_has_property-1"
"éloquence","du","conférencier","r_has_property-1"
"charisme","du","leader","r_has_property-1"
"humilité","du","moine","r_has_property-1"
"ardeur","du","militant","r_has_property-1"
"détermination","du","marathonien","r_has_property-1"
"rigueur","du","mathématicien","r_has_property-1"
"douceur","du","poète","r_has_property-1"
"sensibilité","du","musicien","r_has_property-1"
"vigueur","du","sportif","r_has_property-1"
"précision","du","tireur","r_has_property-1"
"astuce","du","marchand","r_has_property-1"
"subtilité","du","stratège","r_has_property-1"
"loyauté","du","compagnon","r_has_property-1"
"fidélité","du","chien","r_has_property-1"
"clémence","du","juge","r_has_property-1"
"impartialité","du","arbitre","r_has_property-1"
"vaillance","du","chevalier","r_has_property-1"
"modestie","du","savant","r_has_property-1"
"arrogance","du","tyran","r_has_property-1"
"malice","du","renard","r_has_property-1"
"naïveté","du","jeune homme","r_has_property-1"
"innocence","du","bébé","r_has_property-1"
"vivacité","d'","esprit","r_has_property-1"
"ténacité","du","grimpeur","r_has_property-1"
"délicatesse","du","fleuriste","r_has_property-1"
"passion","du","collectionneur","r_has_property-1"
"véracité","du","conteur","r_has_property-1"
"ferveur","du","croyant","r_has_property-1"
"sincérité","du","confident","r_has_property-1"
"droiture","du","citoyen","r_has_property-1"
"honneur","du","samouraï","r_has_property-1"
"pugnacité","du","débatteur","r_has_property-1"
"sagacité","du","détective","r_has_property-1"
"discrétion","du","serviteur","r_has_property-1"
"bonté","du","bienfaiteur","r_has_property-1"
"maladresse","du","bricoleur","r_has_property-1"
"fougue","du","jeune artiste","r_has_property-1"
"énergie","du","danseur","r_has_property-1"
"grâce","de la","ballerine","r_has_property-1"
"charme","du","séducteur","r_has_property-1"
"ruse","du","voleur","r_has_property-1"
"simplicité","du","paysan","r_has_property-1"
"noblesse","du","roi","r_has_property-1"
"autorité","du","capitaine","r_has_property-1"
"compassion","du","soignant","r_has_property-1"
"tolérance","du","sage","r_has_property-1"
"ambition","du","carriériste","r_has_property-1"
"optimisme","du","rêveur","r_has_property-1"
"pessimisme","du","critique","r_has_property-1"
"ironie","du","satiriste","r_has_property-1"
"gourmandise","du","chef","r_has_property-1"
"pragmatisme","du","gestionnaire","r_has_property-1"
"intuition","du","médium","r_has_property-1"
"férocité","du","tigre","r_has_property-1"
"douceur","de la","mère","r_has_property-1"
"intrépidité","du","pompier","r_has_property-1"
"fiabilité","du","mécanicien","r_has_property-1"
"mystère","du","magicien","r_has_property-1"
"sérénité","du","moine","r_has_property-1"
"opiniâtreté","du","combattant","r_has_property-1"
"clarté","du","professeur","r_has_property-1"
"vivacité","du","joueur","r_has_property-1"
"gaieté","du","clown","r_has_property-1"
"mélancolie","du","poète","r_has_property-1"
"flegme","du","gentleman","r_has_property-1"
"astuce","du","braconnier","r_has_property-1"
"candour","du"," novice","r_has_property-1"
"résilience","du","survivant","r_has_property-1"
"ferveur","du","partisan","r_has_property-1"
"subtilité","du","négociateur","r_has_property-1"
"éclat","du","joaillier","r_has_property-1"
"véhémence","du","plaideur","r_has_property-1"
"précision","de l'","horloger","r_has_property-1"
"audace","du","pionnier","r_has_property-1"
"générosité","du","mécène","r_has_property-1"
"malice","du","farceur","r_has_property-1"
"raffinement","du","couturier","r_has_property-1"
"délicatesse","du","diplomate","r_has_property-1"
"ardeur","du","révolutionnaire","r_has_property-1"
"intégrité","du","journaliste","r_has_property-1"
"coque","du","bateau","r_holo"
"écaille","du","poisson","r_holo"
"feuille","de l'","arbre","r_holo"
"pétale","de la","fleur","r_holo"
"aile","du","volatile","r_holo"
"plume","du","paon","r_holo"
"queue","du","chat","r_holo"
"griffe","du","lion","r_holo"
"corne","du","rhinocéros","r_holo"
"poil","du","chien","r_holo"
"écorce","du","tronc","r_holo"
"branche","de l'","arbre","r_holo"
"racine","de la","plante","r_holo"
"tige","de la","rose","r_holo"
"pistil","du","lis","r_holo"
"étamine","de la","tulipe","r_holo"
"grain","du","raisin","r_holo"
"pépin","de la","pomme","r_holo"
"noyau","de la","pêche","r_holo"
"peau","de la","banane","r_holo"
"épine","du","cactus","r_holo"
"aiguille","du","hérisson","r_holo"
"dent","du","requin","r_holo"
"os","du","squelette","r_holo"
"muscle","du","corps","r_holo"
"cœur","du","mamifère","r_holo"
"poumon","du","vertébré","r_holo"
"aile","de l'","avion","r_holo"
"roue","du","véhicule","r_holo"
"porte","de la","voiture","r_holo"
"fenêtre","du","bâtiment","r_holo"
"toit","de la","maison","r_holo"
"mur","du","château","r_holo"
"plancher","de la","salle","r_holo"
"poutre","du","plafond","r_holo"
"cheminée","de la","maison","r_holo"
"escalier","du","bâtiment","r_holo"
"clé","du","clavier","r_holo"
"touche","du","piano","r_holo"
"corde","de la","guitare","r_holo"
"peau","du","tambour","r_holo"
"lentille","du","microscope","r_holo"
"miroir","du","télescope","r_holo"
"écran","de l'","ordinateur","r_holo"
"processeur","du","système","r_holo"
"puce","de l'","appareil","r_holo"
"batterie","du","téléphone","r_holo"
"aiguille","de la","montre","r_holo"
"lame","du","couteau","r_holo"
"manche","du","marteau","r_holo"
"tête","de la","hache","r_holo"
"fil","de la","lampe","r_holo"
"ampoule","du","luminaire","r_holo"
"verre","de la","fenêtre","r_holo"
"charnière","de la","porte","r_holo"
"serrure","du","coffre","r_holo"
"page","du","livre","r_holo"
"couverture","du","cahier","r_holo"
"encre","du","stylo","r_holo"
"brosse","du","pinceau","r_holo"
"poil","du","pinceau","r_holo"
"cadre","du","portrait","r_holo"
"pied","de la","table","r_holo"
"dossier","de la","chaise","r_holo"
"accoudoir","du","fauteuil","r_holo"
"frange","du","tapis","r_holo"
"ourlet","de la","robe","r_holo"
"bouton","du","manteau","r_holo"
"lacet","du","chausson","r_holo"
"semelle","de la","chaussure","r_holo"
"talon","du","soulier","r_holo"
"moteur","du","camion","r_holo"
"piston","du","moteur","r_holo"
"voile","du","bateau","r_holo"
"mât","du","voilier","r_holo"
"rame","du","canot","r_holo"
"hélice","du","bateau","r_holo"
"aileron","du","requin","r_holo"
"nageoire","du","dauphin","r_holo"
"pédale","du","vélo","r_holo"
"guidon","du","vélo","r_holo"
"selle","du","cheval","r_holo"
"lanière","du","fouet","r_holo"
"plume","du","stylo","r_holo"
"bec","du","saxophone","r_holo"
"anche","de la","clarinette","r_holo"
"pédale","du","piano","r_holo"
"tuyau","de l'","orgue","r_holo"
"membrane","du","microphone","r_holo"
"filtre","du","café","r_holo"
"aiguille","de la","machine à coudre","r_holo"
"tour","de","Pise","r_lieu"
"Sahara","d'","Algérie","r_lieu"
"pyramides","de","Gizeh","r_lieu"
"canaux","de","Venise","r_lieu"
"colisée","de","Rome","r_lieu"
"muraille","de","Chine","r_lieu"
"Taj mahal","d'","Inde","r_lieu"
"château","de","Versailles","r_lieu"
"cathédrale","de","Notre-Dame","r_lieu"
"pont","du","Gard","r_lieu"
"arc de triomphe","de","Paris","r_lieu"
"statue","de","New York","r_lieu"
"plage","de","Copacabana","r_lieu"
"forêt","d'","Amazonie","r_lieu"
"temple","d'","Angkor","r_lieu"
"fleuve","du","Nil","r_lieu"
"désert","de","Gobi","r_lieu"
"grotte","de","Lascaux","r_lieu"
"fjord","de","Norvège","r_lieu"
"canyon","du","Colorado","r_lieu"
"récif","de","Corail","r_lieu"
"glacier","de","Patagonie","r_lieu"
"vallée","de","la Loire","r_lieu"
"marché","de","Marrakech","r_lieu"
"bazar","d'","Istanbul","r_lieu"
"médina","de","Fès","r_lieu"
"port","de","Sydney","r_lieu"
"palais","de","Buckingham","r_lieu"
"jardin","de","Keukenhof","r_lieu"
"parc","de","Yellowstone","r_lieu"
"musée","du","Louvre","r_lieu"
"opéra","de","Vienne","r_lieu"
"stade","de","Maracanã","r_lieu"
"arène","de","Lisbonne","r_lieu"
"place","de","Tiananmen","r_lieu"
"avenue","des","Champs-Élysées","r_lieu"
"pont","de","San Francisco","r_lieu"
"Kremlin","de","Moscou","r_lieu"
"Acropole","d'","Athènes","r_lieu"
"temple","de","Kyoto","r_lieu"
"pagode","de","Bangkok","r_lieu"
"mosquée","de","Cordoue","r_lieu"
"synagogue","de","Prague","r_lieu"
"église","de","la Sagrada Família","r_lieu"
"monastère","de","Lhassa","r_lieu"
"sanctuaire","de","Mecca","r_lieu"
"panthéon","de","Rome","r_lieu"
"obélisque","de","Louxor","r_lieu"
"colonne","de","Trajan","r_lieu"
"fort","d'","Agra","r_lieu"
"citadelle","de","Québec","r_lieu"
"château","du","Neuschwanstein","r_lieu"
"vignoble","de","Toscane","r_lieu"
"rizières","de","Bali","r_lieu"
"plateau","du","Tibet","r_lieu"
"savane","du","Serengeti","r_lieu"
"jungle","du","Bornéo","r_lieu"
"prairie","des","Steppes","r_lieu"
"dune","du","Namib","r_lieu"
"falaise","de","Douvres","r_lieu"
"cap","de","Bonne-Espérance","r_lieu"
"îlot","de","Santorin","r_lieu"
"côte","d'","Azur","r_lieu"
"lagune","de","Venise","r_lieu"
"canal","de","Panama","r_lieu"
"barrage","d'","Assouan","r_lieu"
"phare","d'","Alexandrie","r_lieu"
"porte","de","Brandenburg","r_lieu"
"mur","du","Berlin","r_lieu"
"place","du","Trocadéro","r_lieu"
"jardin","du","Luxembourg","r_lieu"
"zoo","de","San Diego","r_lieu"
"circuit","de","Monaco","r_lieu"
"arènes","de","Séville","r_lieu"
"théâtre","de","Sydney","r_lieu"
"gare","de","Lisbonne","r_lieu"
"aéroport","d'","Heathrow","r_lieu"
"métro","de","Moscou","r_lieu"
"pont","du","Bosphore","r_lieu"
"tour","du","CN","r_lieu"
"cascades","d'","Iguazú","r_lieu"
"lac","du","Titicaca","r_lieu"
"chaîne","de","montagne","r_topic"
"chaîne de montagne","des","Alpes","r_lieu"
"vallée","du","Rift","r_lieu"
"désert","d'","Atacama","r_lieu"
"îles","des","Galápagos","r_lieu"
"plage","du","Bondi","r_lieu"
"forêt","de","Sherwood","r_lieu"
"château","de","Dracula","r_lieu"
"temple","de","Luxor","r_lieu"
"vin","de","France","r_lieu>origine"
"café","du","Brésil","r_lieu>origine"
"thé","de","Chine","r_lieu>origine"
"fromage","de","Roquefort","r_lieu>origine"
"tequila","du","Mexique","r_lieu>origine"
"sushi","du","Japon","r_lieu>origine"
"pâtes","d'","Italie","r_lieu>origine"
"champagne","de","Champagne","r_lieu>origine"
"whisky","d'","Écosse","r_lieu>origine"
"vodka","de","Russie","r_lieu>origine"
"olives","d'","Espagne","r_lieu>origine"
"couscous","du","Maroc","r_lieu>origine"
"tacos","du","Mexique","r_lieu>origine"
"poutine","du","Québec","r_lieu>origine"
"baguette","de","Paris","r_lieu>origine"
"croissant","de","France","r_lieu>origine"
"paella","d'","Espagne","r_lieu>origine"
"kimchi","de","Corée","r_lieu>origine"
"curry","d'","Inde","r_lieu>origine"
"samba","du","Brésil","r_lieu>origine"
"flamenco","d'","Andalousie","r_lieu>origine"
"tango","d'","Argentine","r_lieu>origine"
"sari","d'","Inde","r_lieu>origine"
"kilt","d'","Écosse","r_lieu>origine"
"sombrero","du","Mexique","r_lieu>origine"
"saké","du","Japon","r_lieu>origine"
"caviar","de","Russie","r_lieu>origine"
"jambon","de","Parme","r_lieu>origine"
"huile d'olive","de","Toscane","r_lieu>origine"
"riz","du","Vietnam","r_lieu>origine"
"tapis","de","Perse","r_lieu>origine"
"soie","de","Chine","r_lieu>origine"
"porcelaine","de","Limoges","r_lieu>origine"
"cacao","du","Ghana","r_lieu>origine"
"piment","d'","Espelette","r_lieu>origine"
"safran","d'","Iran","r_lieu>origine"
"sirop d'érable","du","Canada","r_lieu>origine"
"bœuf","de","Kobe","r_lieu>origine"
"saumon","de","Norvège","r_lieu>origine"
"truffe","du","Périgord","r_lieu>origine"
"bière","d'","Allemagne","r_lieu>origine"
"miel","du","Yémen","r_lieu>origine"
"coton","d'","Égypte","r_lieu>origine"
"thé","du","Ceylan","r_lieu>origine"
"vin","de","Bordeaux","r_lieu>origine"
"fromage","de","Gruyère","r_lieu>origine"
"chocolat","de","Belgique","r_lieu>origine"
"laine","d'","Australie","r_lieu>origine"
"poivre","de","Cambodge","r_lieu>origine"
"vanille","de","Madagascar","r_lieu>origine"
"rhum","de","Cuba","r_lieu>origine"
"tequila","de","Jalisco","r_lieu>origine"
"tapenade","de","Provence","r_lieu>origine"
"sardines","du","Portugal","r_lieu>origine"
"moutarde","de","Dijon","r_lieu>origine"
"foie gras","du","Périgord","r_lieu>origine"
"saucisse","de","Toulouse","r_lieu>origine"
"pâté","du","Pays Basque","r_lieu>origine"
"cheddar","d'","Angleterre","r_lieu>origine"
"parmesan","d'","Italie","r_lieu>origine"
"feta","de","Grèce","r_lieu>origine"
"ouzo","de","Grèce","r_lieu>origine"
"sake","du","Kyoto","r_lieu>origine"
"maté","d'","Argentine","r_lieu>origine"
"gaucho","du","Pampa","r_lieu>origine"
"pisco","du","Pérou","r_lieu>origine"
"quinoa","des","Andes","r_lieu>origine"
"anchois","du","Pérou","r_lieu>origine"
"mangue","d'","Inde","r_lieu>origine"
"ananas","du","Costa Rica","r_lieu>origine"
"banane","d'","Équateur","r_lieu>origine"
"avocat","du","Chili","r_lieu>origine"
"safran","du","Cachemire","r_lieu>origine"
"pashmina","du","Cachemire","r_lieu>origine"
"tapis","d'","Afghanistan","r_lieu>origine"
"céramique","de","Delft","r_lieu>origine"
"tulipe","de","Hollande","r_lieu>origine"
"tequila","du","Guadalajara","r_lieu>origine"
"vermicelle","de","Chine","r_lieu>origine"
"nougat","de","Montélimar","r_lieu>origine"
"calisson","d'","Aix-en-Provence","r_lieu>origine"
"lavande","de","Provence","r_lieu>origine"
"pastis","de","Marseille","r_lieu>origine"
"berberechos","de","Galice","r_lieu>origine"
"chorizo","d'","Espagne","r_lieu>origine"
"manchego","d'","Espagne","r_lieu>origine"
"safran","d'","Espagne","r_lieu>origine"
"turrón","d'","Alicante","r_lieu>origine"
"baklava","de","Turquie","r_lieu>origine"
"raki","de","Turquie","r_lieu>origine"
"loukoum","de","Turquie","r_lieu>origine"
"pisco","du","Chili","r_lieu>origine"
"ceviche","du","Pérou","r_lieu>origine"
"feijoada","du","Brésil","r_lieu>origine"
"malbec","d'","Argentine","r_lieu>origine"
"mate","du","Paraguay","r_lieu>origine"
"guacamole","du","Mexique","r_lieu>origine"
"chili","d'","Amérique centrale","r_lieu>origine"
"salsa","du","Cuba","r_lieu>origine"
"cuillère","de","bois","r_objet>matiere"
"plage","de","sable","r_objet>matiere"
"trône","de","fer","r_objet>matiere"
"maison","de","pierre","r_objet>matiere"
"bague","d'","or","r_objet>matiere"
"collier","de","perles","r_objet>matiere"
"vase","de","porcelaine","r_objet>matiere"
"verre","de","cristal","r_objet>matiere"
"statue","de","marbre","r_objet>matiere"
"pont","de","béton","r_objet>matiere"
"route","d'","asphalte","r_objet>matiere"
"mur","de","briques","r_objet>matiere"
"toit","de","tuiles","r_objet>matiere"
"porte","de","chêne","r_objet>matiere"
"sol","de","parquet","r_objet>matiere"
"tapis","de","laine","r_objet>matiere"
"rideau","de","soie","r_objet>matiere"
"vêtement","de","coton","r_objet>matiere"
"robe","de","velours","r_objet>matiere"
"chaussures","de","cuir","r_objet>matiere"
"sac","de","toile","r_objet>matiere"
"ceinture","de","corde","r_objet>matiere"
"chapeau","de","paille","r_objet>matiere"
"épée","d'","acier","r_objet>matiere"
"couteau","de","céramique","r_objet>matiere"
"bâton","de","bambou","r_objet>matiere"
"arc","de","frêne","r_objet>matiere"
