"A","R","B","type_relation"
"flèche","de","plumes","r_objet>matiere"
"bateau","de","bois","r_objet>matiere"
"voile","de","lin","r_objet>matiere"
"rame","de","carbone","r_objet>matiere"
"filet","de","nylon","r_objet>matiere"
"panneau","de","verre","r_objet>matiere"
"lampe","de","bronze","r_objet>matiere"
"chandelier","d'","argent","r_objet>matiere"
"horloge","de","cuivre","r_objet>matiere"
"miroir","de","mercure","r_objet>matiere"
"cloche","de","fonte","r_objet>matiere"
"instrument","de","laiton","r_objet>matiere"
"flûte","de","bambou","r_objet>matiere"
"corde","de","chanvre","r_objet>matiere"
"livre","de","papier","r_objet>matiere"
"encre","de","carbone","r_objet>matiere"
"plume","d'","oie","r_objet>matiere"
"pinceau","de","poils","r_objet>matiere"
"peinture","d'","huile","r_objet>matiere"
"sculpture","de","glace","r_objet>matiere"
"figurine","d'","argile","r_objet>matiere"
"poterie","de","terre","r_objet>matiere"
"bijou","de","corail","r_objet>matiere"
"bracelet","de","perles","r_objet>matiere"
"montre","d'","acier","r_objet>matiere"
"bouton","de","nacre","r_objet>matiere"
"épinglette","d'","ivoire","r_objet>matiere"
"boîte","de","fer","r_objet>matiere"
"coffre","de","bois","r_objet>matiere"
"clé","de","métal","r_objet>matiere"
"serrure","de","bronze","r_objet>matiere"
"chaîne","d'","or","r_objet>matiere"
"anneau","de","platine","r_objet>matiere"
"médaille","de","cuivre","r_objet>matiere"
"écuelle","de","faïence","r_objet>matiere"
"tasse","de","porcelaine","r_objet>matiere"
"assiette","de","céramique","r_objet>matiere"
"bol","de","grès","r_objet>matiere"
"plat","de","terre","r_objet>matiere"
"cruche","d'","argile","r_objet>matiere"
"bouteille","de","verre","r_objet>matiere"
"barrique","de","chêne","r_objet>matiere"
"tonneau","de","bois","r_objet>matiere"
"seau","de","zinc","r_objet>matiere"
"arrosoir","d'","aluminium","r_objet>matiere"
"tuyau","de","plastique","r_objet>matiere"
"câble","de","cuivre","r_objet>matiere"
"fil","d'","acier","r_objet>matiere"
"aiguille","de","fer","r_objet>matiere"
"étoffe","de","soie","r_objet>matiere"
"drap","de","coton","r_objet>matiere"
"couverture","de","laine","r_objet>matiere"
"matelas","de","mousse","r_objet>matiere"
"oreiller","de","plumes","r_objet>matiere"
"brosse","de","crin","r_objet>matiere"
"peigne","d'","ivoire","r_objet>matiere"
"éventail","de","soie","r_objet>matiere"
"parapluie","de","toile","r_objet>matiere"
"panier","de","roseau","r_objet>matiere"
"sacoche","de","cuir","r_objet>matiere"
"valise","de","plastique","r_objet>matiere"
"coffret","d'","ébène","r_objet>matiere"
"malle","de","bois","r_objet>matiere"
"échelle","de","bambou","r_objet>matiere"
"barrière","de","fer","r_objet>matiere"
"clôture","de","bois","r_objet>matiere"
"banc","de","pierre","r_objet>matiere"
"chaise","de","rotin","r_objet>matiere"
"table","de","noyer","r_objet>matiere"
"lit","de","fer","r_objet>matiere"
"armoire","de","bois","r_objet>matiere"
"étagère","de","verre","r_objet>matiere"
"chien","de","la famille","r_own-1"
"maison","du","propriétaire","r_own-1"
"voiture","d'un","étudiant","r_own-1"
"sac","du","voyageur","r_own-1"
"bague","de","la fiancée","r_own-1"
"montre","du","collectionneur","r_own-1"
"tableau","d'un","amateur","r_own-1"
"jardin","de","la voisine","r_own-1"
"clé","du","concierge","r_own-1"
"bateau","d'un","pêcheur","r_own-1"
"vélo","du","coursier","r_own-1"
"ordinateur","du","programmeur","r_own-1"
"caméra","d'un","cinéaste","r_own-1"
"guitare","du","musicien","r_own-1"
"piano","d'une","professeure","r_own-1"
"violon","du","virtuose","r_own-1"
"costume","du","banquier","r_own-1"
"robe","de","la mariée","r_own-1"
"chapeau","d'un","cow-boy","r_own-1"
"écharpe","de","la grand-mère","r_own-1"
"lunettes","du","scientifique","r_own-1"
"cahier","d'un","élève","r_own-1"
"stylo","du","poète","r_own-1"
"pinceau","d'un","artiste","r_own-1"
"brosse","du","coiffeur","r_own-1"
"outil","du","menuisier","r_own-1"
"marteau","du","forgeron","r_own-1"
"couteau","d'un","chef cuisinier","r_own-1"
"filet","du","pêcheur","r_own-1"
"canne","de","l'aveugle","r_own-1"
"bâton","du","randonneur","r_own-1"
"épée","d'un","chevalier","r_own-1"
"arc","du","chasseur","r_own-1"
"carnet","du","journaliste","r_own-1"
"appareil photo","d'un","touriste","r_own-1"
"micro","du","présentateur","r_own-1"
"baguette","du","magicien","r_own-1"
"sceptre","du","roi","r_own-1"
"trône","du","monarque","r_own-1"
"couronne","de la","reine","r_own-1"
"bague","d'un","prince","r_own-1"
"étendard","du","clan","r_own-1"
"drapeau","du","pays","r_own-1"
"médaille","du","soldat","r_own-1"
"uniforme","d'un","officier","r_own-1"
"badge","du","policier","r_own-1"
"clé","du","gardien","r_own-1"
"lettre","du","messager","r_own-1"
"paquet","du","livreur","r_own-1"
"sacoche","du","facteur","r_own-1"
"valise","d'un","voyageur","r_own-1"
"billet","du","passager","r_own-1"
"carte","du","joueur","r_own-1"
"pion","du","stratège","r_own-1"
"échiquier","d'un","maître","r_own-1"
"poupée","de","l'enfant","r_own-1"
"jouet","du","bébé","r_own-1"
"cerf-volant","du","gamin","r_own-1"
"ballon","du","joueur","r_own-1"
"raquette","du","tennisman","r_own-1"
"club","du","golfeur","r_own-1"
"balle","de","l'athlète","r_own-1"
"mallette","du","docteur","r_own-1"
"stéthoscope","du","médecin","r_own-1"
"seringue","de","l'infirmière","r_own-1"
"robe","du","juge","r_own-1"
"marteau","du","commissaire-priseur","r_own-1"
"cloche","du","moine","r_own-1"
"encens","du","prêtre","r_own-1"
"bâton","du","pèlerin","r_own-1"
"livre","du","bibliothécaire","r_own-1"
"tablette","du","graphiste","r_own-1"
"microscope","du","biologiste","r_own-1"
"télescope","de l'","astronome","r_own-1"
"boussole","du","navigateur","r_own-1"
"carte","du","capitaine","r_own-1"
"journal","du","passager","r_own-1"
"bague","du","fiancé","r_own-1"
"collier","de la","mariée","r_own-1"
"costume","d'un","acteur","r_own-1"
"script","du","réalisateur","r_own-1"
"camion","du","chauffeur","r_own-1"
"tracteur","du","fermier","r_own-1"
"charrue","du","paysan","r_own-1"
"graine","du","jardinier","r_own-1"
"arrosoir","du","fleuriste","r_own-1"
"toile","du","peintre","r_own-1"
"pinceau","d'un","illustrateur","r_own-1"
"crayon","du","dessinateur","r_own-1"
"carnet","du","caricaturiste","r_own-1"
"appareil","du","photographe","r_own-1"
"drone","du","vidéaste","r_own-1"
"étoffe","du","couturier","r_own-1"
"aiguille","du","tailleur","r_own-1"
"travail","de l'","ouvrier","r_processus_agent"
"cours","du","professeur","r_processus_agent"
"commande","du","capitaine","r_processus_agent"
"pilotage","du","conducteur","r_processus_agent"
"exploration","du","voyageur","r_processus_agent"
"récit","du","conteur","r_processus_agent"
"préparation","du","cuisinier","r_processus_agent"
"fabrication","du","forgeron","r_processus_agent"
"récolte","du","moissonneur","r_processus_agent"
"taille","du","vigneron","r_processus_agent"
"entretien","du","jardinier","r_processus_agent"
"capture","du","pêcheur","r_processus_agent"
"traque","du","chasseur","r_processus_agent"
"navigation","du","marin","r_processus_agent"
"enseignement","du","maître","r_processus_agent"
"recherche","du","savant","r_processus_agent"
"étude","du","chimiste","r_processus_agent"
"étude","du","chimiste","r_product_of"
"observation","du","naturaliste","r_processus_agent"
"labeur","du","paysan","r_processus_agent"
"construction","du","maçon","r_product_of"
"réparation","du","technicien","r_processus_agent"
"nettoyage","du","concierge","r_processus_agent"
"aménagement","du"," décorateur","r_processus_agent"
"planification","du","coordinateur","r_processus_agent"
"supervision","du","chef","r_processus_agent"
"administration","du","greffier","r_processus_agent"
"comptabilité","du","financier","r_processus_agent"
"commerce","du","vendeur","r_processus_agent"
"négociation","du","médiateur","r_processus_agent"
"rédaction","du","journaliste","r_processus_agent"
"correction","de l'","éditeur","r_processus_agent"
"traduction","du","linguiste","r_processus_agent"
"composition","du","artiste","r_processus_agent"
"combat","du","guerrier","r_processus_agent"
"jugement","du","magistrat","r_processus_agent"
"défense","du","client","r_processus_agent"
"accusation","du","plaignant","r_processus_agent"
"enquête","du","policier","r_processus_agent"
"surveillance","du","garde","r_processus_agent"
"protection","du","soldat","r_processus_agent"
"combat","du","combattant","r_processus_agent"
"entraînement","de l'","entraîneur","r_processus_agent"
"arbitrage","du","référent","r_processus_agent"
"course","du"," coureur","r_processus_agent"
"nage","du","nageur","r_processus_agent"
"saut","du","voltigeur","r_processus_agent"
"lancer","du","joueur","r_processus_agent"
"lutte","du","champion","r_processus_agent"
"escalade","du","montagnard","r_processus_agent"
"voyage","du","nomade","r_processus_agent"
"narration","du","romancier","r_processus_agent"
"lecture","du","bibliothécaire","r_processus_agent"
"critique","du","commentateur","r_processus_agent"
"exposition","du","conservateur","r_product_of"
"présentation","du","conférencier","r_processus_agent"
"animation","du","présentateur","r_processus_agent"
"conception","du","créateur","r_processus_agent"
"conception","du","créateur","r_product_of"
"modelage","du","façonneur","r_processus_agent"
"modelage","du","façonneur","r_product_of"
"ébauche","du","scénariste","r_product_of"
"diffusion","du","radiodiffuseur","r_processus_agent"
"diffusion","du","radiodiffuseur","r_product_of"
"promotion","du","publicitaire","r_processus_agent"
"promotion","du","publicitaire","r_product_of"
"distribution","du","fournisseur","r_processus_agent"
"collecte","du","récolteur","r_processus_agent"
"collecte","du","récolteur","r_product_of"
"donation","du","bienfaiteur","r_processus_agent"
"soutien","du","parrain","r_processus_agent"
"manœuvre","du","matelot","r_processus_agent"
"décision","du","dirigeant","r_processus_agent"
"instruction","du","formateur","r_processus_agent"
"analyse","du","statisticien","r_processus_agent"
"restauration","du","conservateur","r_processus_agent"
"découverte","du","prospecteur","r_processus_agent"
"négociation","du","commerçant","r_processus_agent"
"création","du","poète","r_processus_agent"
"interprétation","du","chanteur","r_processus_agent"
"mise en scène","du","réalisateur","r_processus_agent"
"explication","du","guide","r_processus_agent"
"surveillance","du","vigile","r_processus_agent"
"commandement","du","général","r_processus_agent"
"exécution","du","technicien","r_processus_agent"
"plan","du","stratège","r_product_of"
"plan","du","stratège","r_processus_agent"
"éducation","du","tuteur","r_processus_agent"
"préparation","du","serveur","r_processus_agent"
"fabrication","du","menuisier","r_processus_agent"
"entretien","du"," mécanicien","r_processus_agent"
"exploration","du","pionnier","r_processus_agent"
"récit","du","chroniqueur","r_processus_agent"
"clé","d'","ouverture","r_processus>instr-1"
"clé","de la","porte","r_processus>instr-1"
"couteau","de la","coupe","r_processus>instr-1"
"pinceau","de la","peinture","r_processus>instr-1"
"crayon","d'","écriture","r_processus>instr-1"
"stylo","de la","signature","r_processus>instr-1"
"plume","de","calligraphie","r_processus>instr-1"
"pioche","de","terrassement","r_processus>instr-1"
"hache","de","bucheron","r_own-1"
"scie","de","découpe","r_processus>instr-1"
"pince","de","serrage","r_processus>instr-1"
"râpe","de","polissage","r_processus>instr-1"
"aiguille","de","couture","r_processus>instr-1"
"crochet","du","tricot","r_processus>instr-1"
"règle","de","traçage","r_processus>instr-1"
"équerre","de","mesure","r_processus>instr-1"
"thermomètre","de","mesure","r_processus>instr-1"
"baromètre","du","climat","r_processus>instr-1"
"boussole","d'","orientation","r_processus>instr-1"
"sextant","de","navigation","r_processus>instr-1"
"télescope","d'","observation","r_processus>instr-1"
"microscope","du","grossissement","r_processus>instr-1"
"stéthoscope","du","diagnostic","r_processus>instr-1"
"bistouri","de","chirurgie","r_processus>instr-1"
"pinceau","du","maquillage","r_processus>instr-1"
"brosse","de","coiffure","r_processus>instr-1"
"rasoir","de","rasage","r_processus>instr-1"
"ciseaux","du","coiffeur","r_own-1"
"pistolet","de","collage","r_processus>instr-1"
"perforateur","de","papier","r_processus>instr-1"
"lampe","d'","éclairage","r_processus>instr-1"
"cloche","du","signal","r_processus>instr-1"
"sifflet","d'","alerte","r_processus>instr-1"
"amplificateur","de","son","r_processus>instr-1"
"caméra","d'","enregistrement","r_processus>instr-1"
"drone","d'","exploration","r_processus>instr-1"
"clavier","d'","écriture","r_processus>instr-1"
"écran","d'","affichage","r_processus>instr-1"
"imprimante","de","documents","r_processus>instr-1"
"projecteur","de","présentation","r_processus>instr-1"
"télécommande","de","contrôle","r_processus>instr-1"
"baguette","d'","orchestre","r_processus>instr-1"
"bâton","de","rythme","r_processus>instr-1"
"malle","du","transport","r_processus>instr-1"
"valise","du","voyage","r_processus>instr-1"
"corde","d'","escalade","r_processus>instr-1"
"harnais","de","sécurité","r_processus>instr-1"
"canne","du","marcheur","r_own-1"
"bâton","de","randonnée","r_processus>instr-1"
"raquette","de","tennis","r_processus>instr-1"
"club","de","golf","r_processus>instr-1"
"balle","de","lancer","r_processus>instr-1"
"fusil","de","chasse","r_processus>instr-1"
"pince","de","bricolage","r_processus>instr-1"
"marteau","d'","enclume","r_processus>instr-1"
"tisonnier","du","foyer","r_processus>instr-1"
"chaudron","de","cuisson","r_processus>instr-1"
"moule","de","gâteau","r_processus>instr-1"
"fouet","de","battage","r_processus>instr-1"
"rouleau","de","pétrissage","r_processus>instr-1"
"cuillère","de","dosage","r_processus>instr-1"
"louche","de","service","r_processus>instr-1"
"éplucheur","de","légume","r_processus>instr-1"
,,,
"destruction","de la","ville","r_processus_patient"
"inondation","du","village","r_processus_patient"
"abandon","du","projet","r_processus_patient"
"rupture","du","contrat","r_processus_patient"
"perte","du","trésor","r_processus_patient"
"vol","du","bijou","r_processus_patient"
"dégradation","du","monument","r_processus_patient"
"pillage","du","musée","r_processus_patient"
"incendie","de la","forêt","r_processus_patient"
"effondrement","du","pont","r_processus_patient"
"contamination","de l'","eau","r_processus_patient"
"érosion","du","sol","r_processus_patient"
"pollution","du","fleuve","r_processus_patient"
"dévastation","du","champ","r_processus_patient"
"explosion","du","bâtiment","r_processus_patient"
"fissure","du","mur","r_processus_patient"
"bris","de la","vitre","r_processus_patient"
"casse","du","vase","r_processus_patient"
"déchirure","du","tissu","r_processus_patient"
"blessure","du","soldat","r_processus_patient"
"fracture","du","bras","r_processus_patient"
"entaille","de la","main","r_processus_patient"
"brûlure","du","corps","r_processus_patient"
"amputation","du","membre","r_processus_patient"
"infection","du","patient","r_processus_patient"
"empoisonnement","du","corps","r_processus_patient"
"affaiblissement","du","système","r_processus_patient"
"épuisement","du","travailleur","r_processus_patient"
"stress","du","manager","r_processus_patient"
"rejet","du","candidat","r_processus_patient"
"échec","du","projet","r_processus_patient"
"annulation","du","vol","r_processus_patient"
"retard","du","train","r_processus_patient"
"interruption","du","service","r_processus_patient"
"panne","du","moteur","r_processus_patient"
"blocage","du","circuit","r_processus_patient"
"piratage","du","système","r_processus_patient"
"suppression","du","fichier","r_processus_patient"
"altération","du","document","r_processus_patient"
"falsification","du","contrat","r_processus_patient"
"déformation","du","métal","r_processus_patient"
"usure","du","mécanisme","r_processus_patient"
"corrosion","du","fer","r_processus_patient"
"désintégration","du","matériau","r_processus_patient"
"démolition","du","bâtiment","r_processus_patient"
"abolition","de la","loi","r_processus_patient"
"dissolution","du","groupe","r_processus_patient"
"expulsion","du","locataire","r_processus_patient"
"arrestation","du","suspect","r_processus_patient"
"condamnation","du","criminel","r_processus_patient"
"exécution","du","prisonnier","r_processus_patient"
"censure","du","livre","r_processus_patient"
"interdiction","du","film","r_processus_patient"
"saisie","du","véhicule","r_processus_patient"
"destruction","des","archives","r_processus_patient"
"perquisition","du","domicile","r_processus_patient"
"invasion","du","territoire","r_processus_patient"
"occupation","du","pays","r_processus_patient"
"bombardement","de la","ville","r_processus_patient"
"pillage","du","village","r_processus_patient"
"sabotage","du","projet","r_processus_patient"
"trahison","du","partenaire","r_processus_patient"
"abus","de","pouvoir","r_processus_patient"
"exploitation","du","travailleur","r_processus_patient"
"humiliation","du","perdant","r_processus_patient"
"moquerie","du","public","r_processus_agent"
"critique","du","projet","r_processus_patient"
"refus","du","prêt","r_processus_patient"
"élimination","du","concurrent","r_processus_patient"
"défaite","du","combattant","r_processus_patient"
"blessure","du","joueur","r_processus_patient"
"chute","du","cavalier","r_processus_patient"
"renversement","du","gouvernement","r_processus_patient"
"déstabilisation","du","marché","r_processus_patient"
"effondrement","du","budget","r_processus_patient"
"épuisement","du","stock","r_processus_patient"
"contamination","du","produit","r_processus_patient"
"dégradation","du","terrain","r_processus_patient"
"érosion","du","littoral","r_processus_patient"
"inondation","des","rues","r_processus_patient"
"destruction","du","patrimoine","r_processus_patient"
"interruption","du","signal","r_processus_patient"
"panne","du","réseau","r_processus_patient"
"piratage","du","compte","r_processus_patient"
"suppression","du","message","r_processus_patient"
"altération","du","code","r_processus_patient"
"falsification","du","billet","r_processus_patient"
"déformation","du","visage","r_processus_patient"
"usure","des","chaussures","r_processus_patient"
"corrosion","du","tuyau","r_processus_patient"
"désintégration","du","tissu","r_processus_patient"
"démolition","du","quartier","r_processus_patient"
"tableau","de","Picasso","r_product_of"
"roman","de","Victor Hugo","r_product_of"
"film","de","Spielberg","r_product_of"
"chanson","de","Beyoncé","r_product_of"
"vin","du","vigneron","r_product_of"
"fromage","de la","ferme","r_product_of"
"gâteau","du","pâtissier","r_product_of"
"sculpture","de","Michel-Ange","r_product_of"
"poème","de","Baudelaire","r_product_of"
"album","des","Beatles","r_product_of"
"voiture","de","Tesla","r_product_of"
"téléphone","d'","Apple","r_product_of"
"parfum","de","Chanel","r_product_of"
"bijou","de","Cartier","r_product_of"
"robe","de","Dior","r_product_of"
"chaussures","de","Nike","r_product_of"
"montre","de","Rolex","r_product_of"
"ordinateur","de","Dell","r_product_of"
"logiciel","de","Microsoft","r_product_of"
"jeu vidéo","de","Nintendo","r_product_of"
"livre","de","Rowling","r_product_of"
"série","de","Netflix","r_product_of"
"épisode","de","Disney","r_product_of"
"campagne","de","Pepsi","r_product_of"
"produit","d'","Amazon","r_product_of"
"article","de","Wikipedia","r_product_of"
"rapport","de l'","ONU","r_product_of"
"étude","de","Harvard","r_product_of"
"théorie","d'","Einstein","r_product_of"
"invention","d'","Edison","r_product_of"
"machine","de","Turing","r_product_of"
"vaccin","de","Pfizer","r_product_of"
"médicament","de","Novartis","r_product_of"
"meuble","d'","Ikea","r_product_of"
"vêtement","de","Zara","r_product_of"
"accessoire","de","Gucci","r_product_of"
"sac","de","Louis Vuitton","r_product_of"
"café","du","barista","r_product_of"
"bière","du","brasseur","r_product_of"
"pain","du","boulanger","r_product_of"
"viande","du","boucher","r_product_of"
"fruits","de l'","agriculteur","r_product_of"
"miel","de l'","apiculteur","r_product_of"
"huile d'olive","du","producteur","r_product_of"
"chocolat","du","confiseur","r_product_of"
"glace","du","glacier","r_product_of"
"photo","de","Cartier-Bresson","r_product_of"
"dessin","de","Da Vinci","r_product_of"
"gravure","de","Dürer","r_product_of"
"fresque","de","Raphaël","r_product_of"
"opéra","de","Verdi","r_product_of"
"symphonie","de","Beethoven","r_product_of"
"concerto","de","Mozart","r_product_of"
"ballet","de","Tchaïkovski","r_product_of"
"pièce","de","Shakespeare","r_product_of"
"comédie","de","Molière","r_product_of"
"roman","de","Tolkien","r_product_of"
"bande dessinée","de","Hergé","r_product_of"
"manga","de","Toriyama","r_product_of"
"animation","de","Pixar","r_product_of"
"documentaire","de","BBC","r_product_of"
"reportage","de","CNN","r_product_of"
"article","du","journaliste","r_product_of"
"essai","de","Sartre","r_product_of"
"théorème","de","Pythagore","r_product_of"
"formule","d'","Euler","r_product_of"
"algorithme","de","Google","r_product_of"
"véhicule","de","Ford","r_product_of"
"avion","de","Boeing","r_product_of"
"train","de","Siemens","r_product_of"
"bateau","de","Carnival","r_product_of"
"énergie","de la","centrale","r_product_of"
"eau","du","glacier","r_product_of"
"sel","de la","mine","r_product_of"
"pierre","du","tailleur","r_product_of"
"bois","du","menuisier","r_product_of"
"tissu","du","tisserand","r_product_of"
"pot","de la","potière","r_product_of"
"vase","du","céramiste","r_product_of"
"bijou","du","joaillier","r_product_of"
"monture","de l'","opticien","r_product_of"
"instrument","du","luthier","r_product_of"
"violon","de","Stradivarius","r_product_of"
"piano","de","Steinway","r_product_of"
"guitare","de","Gibson","r_product_of"
"batterie","de","Pearl","r_product_of"
"trompette","du","facteur","r_product_of"
"avocat","d'une","femme battue","r_social_tie"
"chef","du","groupe","r_social_tie"
"capitaine","de l'","équipage","r_social_tie"
"président","du","conseil","r_social_tie"
"guide","du","groupe","r_social_tie"
"médecin","du","patient","r_social_tie"
"professeur","des","élèves","r_social_tie"
"entraîneur","du","club","r_social_tie"
"mentor","du","protégé","r_social_tie"
"conseiller","du","client","r_social_tie"
"responsable","de l'","équipe","r_social_tie"
"surveillant","du","collège","r_social_tie"
"trésorier","du","comité","r_social_tie"
"porte-parole","du","mouvement","r_social_tie"
"représentant","des","travailleurs","r_social_tie"
"arbitre","du","match","r_social_tie"
"serveur","des","clients","r_social_tie"
"boulanger","du","quartier","r_social_tie"
"couturier","du","client","r_social_tie"
"coiffeur","du","salon","r_social_tie"
"maquilleur","du","modèle","r_social_tie"
"charpentier","de l'","équipe","r_social_tie"
"jardinier","du","parc","r_social_tie"
"chasseur","du","gibier","r_social_tie"
"soldat","du","régiment","r_social_tie"
"général","du","bataillon","r_social_tie"
"diplomate","du","pays","r_social_tie"
"ambassadeur","de la","nation","r_social_tie"
"député","de la","circonscription","r_social_tie"
"conseiller","du","roi","r_social_tie"
"gouverneur","de la","province","r_social_tie"
"préfet","du","département","r_social_tie"
"artisan","du","village","r_social_tie"
"danseur","de la","troupe","r_social_tie"
"guide","du","touriste","r_social_tie"
"chercheur","du","laboratoire","r_social_tie"
"maladie","du","virus","r_has_causatif"
"crise","de l'","inflation","r_has_causatif"
"déforestation","de l'","agriculture","r_has_causatif"
"inondation","des","pluies","r_has_causatif"
"surchauffe","du","moteur","r_has_causatif"
"panne","de","courant","r_has_causatif"
"congestion","du","traffic","r_has_causatif"
"corrosion","de l'","humidité","r_has_causatif"
"fissure","du","glissement de terrain","r_has_causatif"
déclin de la population,"r_has_causatif"
"extinction","des","espèces","r_processus_patient"
"extinction","de la","météorite","r_has_causatif"
"sécheresse","du","climat","r_has_causatif"
"érosion","du","vent","r_has_causatif"
"contagion","de la","maladie","r_processus>instr-1"
"morts","de la","maladie","r_has_causatif"
"propagation","du","feu","r_processus_patient"
"propagation","du","feu","r_processus_agent"
"éruption","du","volcan","r_processus_agent"
"raz-de-marée","de l'","ouragan","r_has_causatif"
"blizzard","de la","tempête","r_has_causatif"
"grêle","des","orages","r_has_causatif"
"brouillard","de la","pollution","r_has_causatif"
"embouteillage","de l'","accident","r_has_causatif"
"retard","de la","panne mécanique","r_has_causatif"
"annulations","de la","grève","r_has_causatif"
"achats","des","promotions","r_has_causatif"
"inflation","du","crash boursier","r_has_causatif"
"récession","de la","rise","r_has_causatif"
"blessure","de l'","accident","r_has_causatif"
"criminalité","de la","misère","r_has_causatif"
"dépendance","de la","drogue","r_has_causatif"
"symptômes","de l'","obésité","r_has_causatif"
"cancer","du","tabac","r_has_causatif"
"diabète","du","sucre","r_has_causatif"
"insomnie","du","café","r_has_causatif"
"migraine","du","concert","r_has_causatif"
"nausée","du","mal de mer","r_has_causatif"
"vertige","de l'","hypoglycémie","r_has_causatif"
"turbulences","de la","météo","r_has_causatif"
"chanteur","du","groupe","r_social_tie"
"acteur","de la","troupe","r_social_tie"
"défenseur","de l'","accusé","r_social_tie"
"manager","de l'","équipe","r_social_tie"
"coach","de l'","athlète","r_social_tie"
"photographe","du","marié","r_social_tie"
"plombier","du","quartier","r_social_tie"
"infirmier","du","patient","r_social_tie"
"consultant","du","client","r_social_tie"
"avocat","des","accusés","r_social_tie"
"médecin","des","patients","r_social_tie"
"professeur","des","élèves","r_social_tie"
"entraîneur","des","joueurs","r_social_tie"
"capitaine","de l'","équipe","r_social_tie"
"président","du","conseil","r_social_tie"
"membre","du","jury","r_social_tie"
"secrétaire","du","comité","r_social_tie"
"porte-parole","des","employés","r_social_tie"
"représentant","des","syndicats","r_social_tie"
"délégué","de la","classe","r_social_tie"
"tuteur","des","enfants","r_social_tie"
"gardien","des","prisonniers","r_social_tie"
"surveillant","des","détenus","r_social_tie"
"animateur","du","groupe","r_social_tie"
"responsable","des","bénévoles","r_social_tie"
"coordinateur","des","volontaires","r_social_tie"
"chef","de la","tribu","r_social_tie"
"souverain","du","peuple","r_social_tie"
"maire","des","citoyens","r_social_tie"
"député","des","électeurs","r_social_tie"
"sénateur","de l'","État","r_social_tie"
"ministre","du","gouvernement","r_social_tie"
"ambassadeur","des","diplomates","r_social_tie"
"juge","des","parties","r_social_tie"
"témoin","de la","défense","r_social_tie"
"prévenu","du","juge","r_social_tie"
"victime","de l'","accusé","r_social_tie"
"parent","des","élèves","r_social_tie"
"conseiller","des","étudiants","r_social_tie"
"guide","des","visiteurs","r_social_tie"
"musicien","de l'","orchestre","r_social_tie"
"comédien","de la","compagnie","r_social_tie"
"producteur","de l'","équipe","r_social_tie"
"photographe","des","modèles","r_social_tie"
"styliste","des","mannequins","r_social_tie"